0.5,0.071429,0.83333,0,0,0.85714,0.125,0.058824,0.41667,0.23077,0.25,0.63636
1,0.66667,0.5,0.1875,0.125,0.57143,0.13333,0.058824,1,0.23077,0.23077,0.85714
0.9,0.55556,0.16667,0.75,0.058824,0.16667,0.0625,0.13333,0.5,0.14286,0.83333,0.42857
0.63636,0.88889,0.18182,0.6,0,0.25,0.125,0.0625,0.125,0.13333,0.5,0.57143
0.33333,0.83333,0.076923,0.36364,0.23077,0.4,0,0.055556,0.058824,0,0.076923,0.5
0.25,0.42857,0.27273,0.25,0,0.066667,0.058824,0.055556,0.0625,0.2,0.25,0.5
0.64286,0.4,0.16667,0.5,0,0.14286,0.055556,0.11765,0.125,0.2,0.5,0.6
1,0.75,0.25,0.066667,0.28571,0.066667,0.125,0.058824,0.058824,0.16667,0.058824,0.071429
0.5,0.18182,0.14286,0.14286,0.2,0,0.058824,0,0.058824,0.5,0.21429,0.33333
0.11111,0.55556,0.4,0.25,0.058824,0.38462,0.125,0,0,0.076923,0.36364,0.625
0.44444,0.8,0.375,0.0625,0.058824,0.125,0.35714,0,0.125,0.0625,0,0.3
0.53333,0.9,0.71429,0.055556,0.125,0.0625,0.13333,0,0,0.21429,0.13333,0.625
0.42857,0.5,0,0.35714,0,0.125,0.11765,0,0,0.6,0.36364,0.75
0.1,0.22222,0.45455,0.5,0.2,0.125,0.058824,0.11765,0.055556,0.16667,0.2,0.625
0.625,0.7,0.44444,0.14286,0.15385,0.66667,0,0,0,0.18182,0.071429,0.1
0.66667,0.72727,0.71429,0.21429,0.25,0.33333,0.11765,0.11765,0.1875,0.15385,0.13333,0.16667
0.76923,0.9,0.071429,0.055556,0.75,0,0.058824,0.5,0.058824,0.14286,0,0.27273
0.9,0.72727,0.23077,0,0.2,0,0.2,0.66667,0.0625,0.28571,0.30769,0.071429
0.2,0.63636,0.25,0.055556,0.45455,0.11765,0.066667,0.66667,0,0.33333,0.25,0.5
0.42857,0,0.41667,0.125,0,0.5,0.058824,0.33333,0.35714,0.4,0.15385,0.5
0.22222,0.625,0.55556,0.30769,0.066667,1,0.055556,0.75,0.076923,0.26667,0.13333,0.3
0.4,0.22222,0.6,0.23077,0.23077,0.6,0.2,1,0.2,0.375,0.28571,0.75
0.75,0.18182,0.71429,0.66667,0.33333,0,0.0625,0,0.5,0.16667,0,0.875
0.3,0.5,0.15385,0.25,0.16667,0.0625,0,0,0,0.14286,0.28571,0.58333
0.4,0.61538,0.058824,0.13333,0.25,0.5,0.2,0.26667,0.26667,0.13333,0.23077,0.77778
0.57143,0.85714,0.125,0.125,0.066667,0.4,0,0,0.25,0.45455,0.36364,0.44444
0.57143,0.44444,0.14286,0.13333,0.125,0,0,0.35714,1,0.16667,0.25,0.875
0.33333,0.66667,0.13333,0.125,0.21429,0,0,0,0.75,0.55556,0.14286,0.57143
0.14286,-1,0.0625,0.11765,0.42857,0.055556,0.055556,0,0.66667,0.66667,0.33333,0.28571
0,-1,0.28571,0.2,1,0.055556,0,0.055556,0.25,0.63636,0.66667,0.18182
0.4,-1,0,-1,0.42857,-1,0.058824,0.11765,-1,0.83333,-1,0.22222
