41.6	0	0	0	0	.4	29	0	0	16	0	0	5.4	0	0	0	0	.6	0
0	0	0	0	0	4.6	0	0	3	5	0	0	0	0	0	3	28	.2	0
0	0	2.8	0	0	0	0	0	.8	21	16	0	0	0	0	11.6	10.8	.4	0
0	.6	15.8	0	.2	0	0	0	0	10.6	25.8	0	0	0	0	19.8	4	.2	0
0	0	0	0	9.6	0	0	0	0	15.6	0	0	3.4	0	0	3.8	4	.4	0
0	3.2	0	0	0	0	0	0	0	14.6	0	.6	9.4	3	0	33.8	1.4	.2	0
0	.8	9.4	0	14.6	0	0	0	0	6	0	1	0	4.2	0	0	0	.2	0
0	30	0	0	0	2.4	0	0	0	.2	0	0	.2	57	0	0	.2	.2	0
0	.2	0	0	0	0	2	0	0	1.4	0	0	0	77.6	0	2.6	0	0	0
0	0	0	0	0	6.2	0	0	0	.2	0	4	0	2.4	0	0	0	.2	0
0	10.4	0	0	0	0	6.2	0	0	0	8.4	1.8	.8	.2	0	0	16	.2	0
0	5.6	0	0	0	7.4	2	0	0	16.6	0	15.4	12.2	18.6	0	0	0	0	0
0	0	0	0	0	0	12.8	0	0	.2	0	1.8	4.2	.2	0	0	0	0	0
0	7.8	0	47	0	0	27	0	2	0	0	7.2	2.6	0	0	26.4	0	.2	0
0	0	0	44.8	0	0	.2	0	27.8	7.2	5.2	0	1	4.8	0	.2	14.8	.2	0
0	0	0	46.4	0	.2	0	0	2.4	0	59.8	36.8	0	0	0	0	40.4	.2	0
0	0	0	10.2	16.8	4.6	0	0	0	0	0	5.4	0	0	0	0	0	.8	0
0	0	0	.6	0	13.8	0	0	0	0	.4	13	9	0	0	0	2	0	0
0	0	0	0	0	9.4	7.4	0	0	0	0	0	0	9.6	0	.6	0	0	0
0	0	0	0	.6	.2	0	0	.2	0	0	.6	0	1	0	0	0	2.2	2
5.8	19.4	0	2	0	0	0	0	2.6	0	0	66.8	22	8.6	0	0	48.4	26.2	5.8
.2	0	0	9.6	.2	1.2	4.8	0	0	1.4	0	35.6	13.4	.4	0	0	27.2	0	0
0	0	0	1	0	1.4	46.4	0	.8	.4	27.2	0	0	.2	0	0	0	0	0
5	0	0	.2	0	.6	1.4	0	2	0	0	.8	0	0	0	0	0	0	0
14	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	3.2	0	0	0	1.2	0	0	.2	0	0	0	0	0	0	0
0	0	0	0	.2	0	0	0	1.4	0	0	2.4	0	0	0	.2	7.6	0	0
.2	0	0	0	.2	0	0	0	1.8	29.6	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	6.4	.2	0	0	0	0	0	0	0	0	0
0	0	0	0	7.4	0	0	0	.6	0	0	0	36.8	9.8	0	0	0	0	3.8
0	0	0	0	0	0	0	0	1.4	0	0	0	3.4	5.6	0	0	0	0	.2
