.2	0	4.8	0	19.6	38.8	2.2	14.2	0	0	25.4	0	1.6	0	1.2	1	6.4	0	0
16.8	35.2	4.4	0	22.2	42.6	3.2	18.4	0	0	7.4	15	11.2	.4	20	0	17.4	7.8	.2
0	0	0	0	.2	47	.2	19	0	43.6	0	0	.4	.6	3	0	11.6	0	3
0	28.8	0	40.6	1.2	12	0	15.4	0	15.2	0	0	0	.8	4.6	1.6	.2	4.8	0
0	29	0	6.6	5.8	12	11.8	0	0	9.8	0	24.4	0	0	0	9	0	12.2	1
0	16.6	0	7.2	3	28.2	34.4	0	0	18.4	0	0	0	19.4	0	.8	9.8	4	9.8
.2	5	25.6	3.8	.2	34.6	13.8	1.8	0	1.8	4	3.2	0	20.6	0	0	1	.6	0
.4	0	11.6	0	0	4.4	0	0	0	35.2	17.8	0	0	17.6	0	0	15.4	.6	0
59.6	0	9	36.4	48.8	5	0	0	0	32.8	11.6	11.6	.2	0	1	0	25.2	0	1.2
6.8	0	3.4	3	0	12.2	0	0	0	0	7.6	.6	0	0	13.8	27.2	1.8	0	12
0	24.4	0	0	0	.2	4.6	1.6	0	23.2	6	.2	0	0	55.4	5.8	0	0	6
0	13.6	6.2	2.6	13.4	0	0	.6	0	46.4	5.4	.2	4.6	6	23.8	33.4	32	1.2	10.8
60.6	16.2	0	0	0	3.6	33.4	0	0	13.2	0	55.6	13	0	77.4	.8	2.8	28.2	26.2
80.6	4	0	0	0	35	.6	0	0	17	4.8	17.2	4.8	0	12.6	0	0	0	0
11	0	0	0	0	0	16.4	7.2	0	.6	9.8	.2	0	.2	14.6	17.2	3	13.8	0
23.6	0	0	5.8	0	.2	26.8	.2	0	0	7.2	53.4	14.2	2.8	7.4	10.4	9.6	0	4.6
0	7.8	0	20.2	0	0	13.6	14.4	0	41.6	.2	4.4	.2	0	.4	21.6	35.6	27.2	6.6
0	12.6	0	6.6	0	25.4	2.6	14.8	0	17.2	5.8	6.4	0	0	0	5.8	0	10	0
0	0	0	118.6	10.4	14	.4	9.4	0	20.6	7.2	0	0	0	0	135.4	22	0	0
5.4	0	0	40.4	25.6	40.2	25.4	7.4	0	5	.4	.2	0	0	0	25.6	.4	19.2	0
13.2	7	0	39	.2	8.2	1.8	1.6	0	0	0	0	0	11.6	0	3	0	.2	0
0	40.8	.2	6.6	0	5	0	0	0	.4	.2	0	2.2	6.8	0	12.8	0	0	0
4.6	21.2	0	30.4	0	.4	0	0	0	0	.6	0	21.4	0	0	14.6	0	0	1.8
.4	27.2	9.6	.4	0	0	.4	0	0	0	17.8	0	.2	0	0	0	1	0	53
0	0	24.2	2	0	0	0	1.8	0	0	3.4	0	17.8	0	.6	28	17.6	1.8	0
11.8	0	38.8	28.4	0	0	8.4	30.6	0	38.2	15	53.2	0	0	.8	15	3.6	10	0
0	0	54	4.2	27.6	.2	0	16.8	0	6.4	74.2	4.6	1.4	14	2.2	15.4	0	0	0
28.6	0	31	21.2	1	26.6	3.8	18	0	25.8	4.6	0	.4	33.2	3.4	1.6	0	0	0
0	0	14	2.4	10.2	41.8	15.6	44.6	0	7.4	0	0	1.4	6.4	2.8	8	1	0	0
0	0	0	2.4	8.2	2.2	38	0	0	20.4	0	0	0	1.6	1.8	0	5.6	0	0
0	0	29.8	13.8	.4	0	.4	0	0	0	0	2.4	0	0	3.8	.4	2.2	0	45.2
